run_id,geometry,family,n_atoms,device_profile,replicate,omega_mhz,delta_initial_mhz,delta_target_mhz,delta_over_omega,sweep_ns,hold_ns,fall_ns,sweep_rate_mhz_per_us,blockade_ratio,baseline,jensen_shannon_bits,total_variation,hellinger,support_jaccard,candidate_mass_on_reference_support,reference_mass_on_candidate_support,quantum_samples,quantum_unique_basins,quantum_shannon_entropy_nats,quantum_normalized_entropy,quantum_collision_probability_p_q1,quantum_effective_basin_count,quantum_top_basin_mass,quantum_best_energy_mhz,quantum_mean_energy_mhz,quantum_energy_std_mhz,quantum_mean_replica_overlap,quantum_mean_pairwise_hamming,quantum_negative_overlap_mass,quantum_low_energy_threshold_mhz,quantum_low_energy_mass,quantum_unique_low_energy_basins,quantum_reference_minima,quantum_reference_basin_coverage,baseline_samples,baseline_unique_basins,baseline_shannon_entropy_nats,baseline_normalized_entropy,baseline_collision_probability_p_q1,baseline_effective_basin_count,baseline_top_basin_mass,baseline_best_energy_mhz,baseline_mean_energy_mhz,baseline_energy_std_mhz,baseline_mean_replica_overlap,baseline_mean_pairwise_hamming,baseline_negative_overlap_mass,baseline_low_energy_threshold_mhz,baseline_low_energy_mass,baseline_unique_low_energy_basins,baseline_reference_minima,baseline_reference_basin_coverage
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,uniform_random,0.07475873519867972,0.24200000000000002,0.2351096077080773,0.9354838709677419,1.0,0.986,500.0,29,2.748090464568978,0.8161119792614172,0.08817600000000002,11.340954454726907,0.164,-7.268416771394149,-6.650933201468063,0.6286012141469455,0.29192266666666666,4.248464,0.18158400000000002,-7.018416771394149,0.502,6,31,0.9354838709677419,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,simulated_annealing,0.11545642204165013,0.264,0.30231203607893603,0.8064516129032258,0.96,0.988,500.0,29,2.748090464568978,0.8161119792614172,0.08817600000000002,11.340954454726907,0.164,-7.268416771394149,-6.650933201468063,0.6286012141469455,0.29192266666666666,4.248464,0.18158400000000002,-7.018416771394149,0.502,6,31,0.9354838709677419,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839
g00_p000_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,parallel_tempering,0.28391043547829914,0.458,0.5065487517468399,0.3448275862068966,0.624,1.0,500.0,29,2.748090464568978,0.8161119792614172,0.08817600000000002,11.340954454726907,0.164,-7.268416771394149,-6.650933201468063,0.6286012141469455,0.29192266666666666,4.248464,0.18158400000000002,-7.018416771394149,0.502,6,31,0.9354838709677419,500.0,10,1.691354813990251,0.7345460626564668,0.26304800000000006,3.801587542957938,0.454,-7.268416771394149,-7.176025213106007,0.100940982865877,0.611856,2.3288640000000003,0.009568,-7.018416771394149,0.9460000000000001,6,31,0.3225806451612903
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,uniform_random,0.0922637036655834,0.23800000000000002,0.27858224476829246,0.8064516129032258,1.0,0.918,500.0,25,2.7177111056178487,0.8443044259804982,0.08732,11.452130096197893,0.166,-7.268416771394149,-6.59928084059356,0.633805530967933,0.28971066666666667,4.261736,0.184504,-7.018416771394149,0.458,6,31,0.8064516129032258,500.0,31,3.1698193327359934,0.9230725521038279,0.050952,19.62631496310253,0.1,-7.268416771394149,-6.460252297333855,0.6376530303127496,0.194596,4.832424,0.258272,-7.018416771394149,0.37,6,31,1.0
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,simulated_annealing,0.13653671727561112,0.29800000000000004,0.330242484131984,0.8,0.998,0.934,500.0,25,2.7177111056178487,0.8443044259804982,0.08732,11.452130096197893,0.166,-7.268416771394149,-6.59928084059356,0.633805530967933,0.28971066666666667,4.261736,0.184504,-7.018416771394149,0.458,6,31,0.8064516129032258,500.0,29,2.5796740957921145,0.766096662140456,0.110256,9.069801189957916,0.192,-7.268416771394149,-6.885882291417811,0.5081681173195502,0.29521200000000003,4.228728,0.19843999999999998,-7.018416771394149,0.65,6,31,0.9354838709677419
g00_p000_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,0,300,37.5,1.104500186288899,parallel_tempering,0.3337932714525378,0.518,0.5479886165500929,0.34615384615384615,0.582,0.992,500.0,25,2.7177111056178487,0.8443044259804982,0.08732,11.452130096197893,0.166,-7.268416771394149,-6.59928084059356,0.633805530967933,0.28971066666666667,4.261736,0.184504,-7.018416771394149,0.458,6,31,0.8064516129032258,500.0,10,1.6480728511298357,0.715748945020247,0.265536,3.7659677030609786,0.45,-7.268416771394149,-7.179963573490277,0.0939393752065944,0.6289493333333332,2.2263040000000007,0.006864,-7.018416771394149,0.962,6,31,0.3225806451612903
g00_p001_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,uniform_random,0.08062432119493695,0.256,0.24256759015637946,0.967741935483871,1.0,0.99,500.0,30,2.9360410613134635,0.8632374813480036,0.07194400000000001,13.899699766485043,0.148,-7.268416771394149,-6.67362940985278,0.6137930952119935,0.24108400000000002,4.553495999999999,0.221984,-7.018416771394149,0.524,6,31,0.967741935483871,500.0,31,3.134736010738973,0.9128560545143208,0.052216000000000005,19.151218017465908,0.092,-7.268416771394149,-6.429016699163185,0.630506611403116,0.1874573333333333,4.875256,0.27086400000000005,-7.018416771394149,0.334,6,31,1.0
g00_p001_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,simulated_annealing,0.14645747728653954,0.34600000000000003,0.34334212932474334,0.8387096774193549,0.922,0.99,500.0,30,2.9360410613134635,0.8632374813480036,0.07194400000000001,13.899699766485043,0.148,-7.268416771394149,-6.67362940985278,0.6137930952119935,0.24108400000000002,4.553495999999999,0.221984,-7.018416771394149,0.524,6,31,0.967741935483871,500.0,27,2.5092185009676964,0.761329702586196,0.11200800000000001,8.92793371902007,0.164,-7.268416771394149,-6.914189872298234,0.47328515544094335,0.30722666666666665,4.15664,0.17911999999999995,-7.018416771394149,0.654,6,31,0.8709677419354839
g00_p001_r00,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,0,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,parallel_tempering,0.2899107897013694,0.4640000000000001,0.5076572194538544,0.3333333333333333,0.65,1.0,500.0,30,2.9360410613134635,0.8632374813480036,0.07194400000000001,13.899699766485043,0.148,-7.268416771394149,-6.67362940985278,0.6137930952119935,0.24108400000000002,4.553495999999999,0.221984,-7.018416771394149,0.524,6,31,0.967741935483871,500.0,10,1.691354813990251,0.7345460626564668,0.26304800000000006,3.801587542957938,0.454,-7.268416771394149,-7.176025213106007,0.100940982865877,0.611856,2.3288640000000003,0.009568,-7.018416771394149,0.9460000000000001,6,31,0.3225806451612903
g00_p001_r01,jittered_kagome_n12_seed19,bond_disordered_kagome,12,ruby_proxy,1,2.0,-6.0,1.5,0.75,200,300,300,37.5,1.104500186288899,uniform_random,0.07252550120302673,0.23800000000000004,0.2308684134293803,0.967741935483871,1.0,0.988,500.0,30,2.9396318960196846,0.8642932373960299,0.07107200000000002,14.07023863124718,0.14,-7.268416771394149,-6.661285643230336,0.6209304865072119,0.24266,4.54404,0.22796000000000002,-7.018416771394149,0.516,6,31,0.967741935483871,500.0,31,3.1698193327359934,0.9230725521038279,0.050952,19.62631496310253,0.1,-7.268416771394149,-6.460252297333855,0.6376530303127496,0.194596,4.832424,0.258272,-7.018416771394149,0.37,6,31,1.0
